Month,AustralianPort,ForeignPort,Country,PaxIn,FreightIn,MailIn,PaxOut,FreightOut,MailOut,TotalPax,TotalFreight,TotalMail,Year,"<< This year is based on the month selected in cell E2 in sheet ""Totals"" - it is only a calendar year if the month in sheet ""Totals"" is set to December",,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Tokyo,Japan,"11,097",122.1,8.2,"9,064",91.5,0.5,"20,161",213.6,8.7,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Wellington,New Zealand,"8,623",3.6,0.0,"8,563",5.8,0.0,"17,186",9.4,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Cairns,Auckland,New Zealand,"1,692",8.8,0.0,"1,623",1.7,0.0,"3,315",10.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Cairns,Guam,Guam,"1,128",0.3,0.0,"1,084",1.2,0.0,"2,212",1.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Cairns,Hong Kong,Hong Kong (SAR),"3,560",12.7,0.0,"2,246",250.1,0.0,"5,806",262.9,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Cairns,Port Moresby,Papua New Guinea,"2,832",3.2,0.0,"3,042",11.7,0.4,"5,874",14.9,0.5,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Cairns,Singapore,Singapore,"1,609",3.8,0.0,"1,965",1.2,11.4,"3,574",4.9,11.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Cairns,Tokyo,Japan,"7,716",29.7,5.2,"7,024",24.9,1.6,"14,740",54.6,6.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Darwin,Denpasar,Indonesia,"4,960",3.2,0.0,"2,704",0.4,0.0,"7,664",3.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Darwin,Ho Chi Minh City,Vietnam,613,4.4,0.0,614,0.2,0.0,"1,227",4.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Darwin,Singapore,Singapore,"4,783",12.7,0.0,"2,992",3.4,0.0,"7,775",16.1,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Darwin,Surabaya,Indonesia,..,..,..,63,0.0,0.0,63,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Auckland,New Zealand,"5,785",5.4,0.0,"5,679",6.5,0.0,"11,464",11.9,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Christchurch,New Zealand,"2,420",0.3,0.0,"2,103",3.8,0.0,"4,523",4.1,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Hamilton,New Zealand,562,0.0,0.0,546,0.5,0.0,"1,108",0.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Kuala Lumpur,Malaysia,"5,956",54.2,0.0,"5,276",10.6,0.0,"11,232",64.9,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Gold Coast,Nadi,Fiji,735,0.0,0.0,337,0.0,0.0,"1,072",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
