INTERNATIONAL SCHEDULED AIR TRANSPORT - Airline supplied data,,,,,,,,,,,,,,,,,,,,,,
"Country is determined by where ""same flight number"" services Originate or Terminate",,,,,,,,,,,,,,,,,,,,,,
"The true seat utilisation factors for airlines other than Australian Airlines, Qantas Airways, Emirates (for November 2011 onwards), China Airlines (for January 2014 onwards), Philippine Airlines (for December 2015 onwards), AirAsia X (for March 2016 onwards) and Singapore Airlines (for September 2016 onwards), that operate via Australia will most likely be higher than what is calculated using this data. See ""ReadMe"" tab for more information.",,,,,,,,,,,,,,,,,,,,,,
More detailed information on flights and seats by route and city pairs can be found at:,,,,,http://www.bitre.gov.au/publications/ongoing/international_airlines-operated_flights_seats.aspx,,,,,,,,,,,,,,,,,
MONTH,AIRLINE,COUNTRY,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,FIN_Y,CAL_Y,,,,,,,,,,,,
Jan-91,Qantas Airways,Solomon Islands,4,268,424,4,300,424,1991,1991,,,,,,,,,,,,
Jan-91,Qantas Airways,Thailand,31,"4,867","6,558",31,"4,586","6,558",1991,1991,,,,,,,,,,,,
Jan-91,Qantas Airways,UK,62,"17,906","23,083",62,"14,867","23,148",1991,1991,,,,,,,,,,,,
Jan-91,Qantas Airways,USA,94,"26,102","31,420",96,"21,228","32,158",1991,1991,,,,,,,,,,,,
Jan-91,Qantas Airways,Zimbabwe,9,"3,054","3,410",10,"2,378","3,867",1991,1991,,,,,,,,,,,,
Jan-91,Royal Brunei Airlines,Brunei,10,"1,006","1,480",10,633,"1,480",1991,1991,,,,,,,,,,,,
Jan-91,Singapore Airlines,Singapore,91,"28,681","34,474",92,"23,093","34,888",1991,1991,,,,,,,,,,,,
Jan-91,Solomon Airlines,Solomon Islands,(d),(d),(d),(d),368,(d),1991,1991,,,,,,,,,,,,
Jan-91,Thai Airways International,Thailand,43,"10,503","13,638",43,"8,074","13,638",1991,1991,,,,,,,,,,,,
Jan-91,Union de Transports Aeriens,France,10,"1,182","3,390",9,594,"2,974",1991,1991,,,,,,,,,,,,
Jan-91,Union de Transports Aeriens,New Caledonia,9,904,"1,664",10,909,"2,080",1991,1991,,,,,,,,,,,,
Jan-91,Union de Transports Aeriens,Tahiti,4,11,520,4,11,520,1991,1991,,,,,,,,,,,,
Jan-91,United Airlines,USA,62,"20,883","24,862",62,"17,824","24,862",1991,1991,,,,,,,,,,,,
Jan-91,Yugoslav Airlines,Yugoslavia,9,"1,950","2,493",9,"1,556","2,493",1991,1991,,,,,,,,,,,,
Feb-91,Aerolineas Argentinas,Argentina,8,"1,709","2,400",8,"1,304","2,400",1991,1991,,,,,,,,,,,,
Feb-91,Air Caledonie,New Caledonia,20,"1,346","2,600",20,"2,222","2,600",1991,1991,,,,,,,,,,,,
Feb-91,Air China,China,4,501,"1,060",4,609,"1,060",1991,1991,,,,,,,,,,,,
Feb-91,Air India,India,1,158,377,1,234,377,1991,1991,,,,,,,,,,,,
Feb-91,Nauru Airlines,Nauru,7,254,695,7,189,695,1991,1991,,,,,,,,,,,,
Feb-91,Air New Zealand,New Zealand,213,"30,662","51,241",212,"30,225","50,420",1991,1991,,,,,,,,,,,,
Feb-91,Air Niugini,Papua New Guinea,44,"2,347","4,608",44,"2,849","4,608",1991,1991,,,,,,,,,,,,
Feb-91,Fiji Airways,Fiji,38,"4,064","9,624",38,"3,757","9,624",1991,1991,,,,,,,,,,,,
Feb-91,Air Vanuatu,Vanuatu,16,"1,350","2,320",16,"1,360","2,320",1991,1991,,,,,,,,,,,,
Feb-91,Alitalia,Italy,12,"2,181","3,464",12,"1,568","3,464",1991,1991,,,,,,,,,,,,
Feb-91,All Nippon Airways,Japan,19,"3,952","7,106",20,"4,342","7,480",1991,1991,,,,,,,,,,,,
Feb-91,American Airlines,USA,16,"1,725","3,632",16,"1,393","3,632",1991,1991,,,,,,,,,,,,
Feb-91,British Airways,New Zealand,12,"1,038","3,088",12,910,"3,088",1991,1991,,,,,,,,,,,,
Feb-91,British Airways,UK,52,"11,632","20,072",52,"9,922","20,072",1991,1991,,,,,,,,,,,,
Feb-91,Canadian Airlines International,Canada,12,"1,938","3,020",12,"1,818","3,020",1991,1991,,,,,,,,,,,,
Feb-91,Cathay Pacific Airways,Hong Kong,49,"17,145","20,500",49,"12,906","20,500",1991,1991,,,,,,,,,,,,
Feb-91,Continental Airlines,Guam,16,"3,119","4,544",16,"2,750","4,544",1991,1991,,,,,,,,,,,,
Feb-91,Continental Airlines,New Zealand,12,"2,638","4,896",12,"2,124","4,896",1991,1991,,,,,,,,,,,,
Feb-91,Continental Airlines,USA,64,"14,801","23,462",64,"12,805","23,462",1991,1991,,,,,,,,,,,,
Feb-91,Federal Express Corporation,USA,12,..,..,..,..,..,1991,1991,,,,,,,,,,,,
Feb-91,Garuda Indonesia,Indonesia,57,"8,389","14,931",57,"6,632","14,931",1991,1991,,,,,,,,,,,,
Feb-91,Hawaiian Airlines,American Samoa,4,289,740,4,279,740,1991,1991,,,,,,,,,,,,
Feb-91,Japan Airlines,Japan,42,"10,758","17,734",43,"11,808","18,132",1991,1991,,,,,,,,,,,,
Feb-91,KLM Royal Dutch Airlines,Netherlands,4,"1,400","1,712",4,"1,053","1,712",1991,1991,,,,,,,,,,,,
Feb-91,Korean Air,Korea,4,828,"1,604",4,776,"1,604",1991,1991,,,,,,,,,,,,
Feb-91,Lauda Air,Austria,8,691,"1,384",8,535,"1,384",1991,1991,,,,,,,,,,,,
Feb-91,Lufthansa German Airlines,Germany,24,"2,866","5,312",24,"2,083","5,312",1991,1991,,,,,,,,,,,,
Feb-91,Malaysia Airlines,Malaysia,39,"9,443","11,897",40,"9,892","11,860",1991,1991,,,,,,,,,,,,
Feb-91,Malaysia Airlines,New Zealand,8,271,"1,132",7,360,"1,132",1991,1991,,,,,,,,,,,,
Feb-91,Merpati Nusantara Airlines,Indonesia,8,296,640,8,376,640,1991,1991,,,,,,,,,,,,
Feb-91,Olympic Airways,Greece,8,"2,827","3,512",8,"1,769","3,512",1991,1991,,,,,,,,,,,,
Feb-91,Philippine Airlines,Philippines,19,"4,061","4,812",19,"3,449","4,812",1991,1991,,,,,,,,,,,,
Feb-91,Polynesian Airlines,Western Samoa,8,592,"1,184",8,707,"1,184",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Argentina,..,216,400,..,157,400,1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Fiji,..,"2,088","2,749",..,"2,108","2,749",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Germany,6,"1,162","1,898",5,526,"1,580",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Hong Kong,62,"13,304","18,556",62,"10,995","18,556",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Indonesia,30,"6,709","8,934",30,"5,932","8,934",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Italy,8,"1,158","2,524",8,"1,167","2,519",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Japan,109,"16,080","29,402",107,"16,468","29,184",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Malaysia,12,"1,621","2,554",12,"1,014","2,554",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,New Caledonia,8,883,"1,885",8,"1,482","1,885",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,New Zealand,166,"24,848","38,926",166,"25,974","39,151",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Papua New Guinea,24,"1,924","3,840",24,"2,255","3,840",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Philippines,8,"1,441","1,824",8,"1,056","1,824",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Singapore,88,"16,722","25,687",88,"12,986","25,687",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Solomon Islands,4,163,424,4,266,424,1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Thailand,28,"3,629","5,952",28,"3,057","5,952",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,UK,56,"14,683","20,912",56,"11,086","20,912",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,USA,89,"17,824","29,725",85,"17,637","29,305",1991,1991,,,,,,,,,,,,
Feb-91,Qantas Airways,Zimbabwe,8,"2,335","3,088",8,"1,651","3,088",1991,1991,,,,,,,,,,,,
Feb-91,Royal Brunei Airlines,Brunei,12,929,"1,776",12,716,"1,776",1991,1991,,,,,,,,,,,,
Feb-91,Singapore Airlines,Singapore,83,"25,538","31,184",83,"20,965","31,162",1991,1991,,,,,,,,,,,,
Feb-91,Solomon Airlines,Solomon Islands,(d),(d),(d),(d),175,(d),1991,1991,,,,,,,,,,,,
Feb-91,Thai Airways International,Thailand,38,"6,800","12,254",38,"5,394","12,254",1991,1991,,,,,,,,,,,,
Feb-91,Union de Transports Aeriens,France,8,532,"2,712",8,706,"2,712",1991,1991,,,,,,,,,,,,
Feb-91,Union de Transports Aeriens,New Caledonia,8,741,"1,664",8,737,"1,664",1991,1991,,,,,,,,,,,,
Feb-91,Union de Transports Aeriens,Tahiti,4,13,520,4,16,520,1991,1991,,,,,,,,,,,,
Feb-91,United Airlines,USA,56,"15,385","22,456",57,"15,533","22,834",1991,1991,,,,,,,,,,,,
Feb-91,Yugoslav Airlines,Yugoslavia,8,"1,488","2,216",8,"1,325","2,216",1991,1991,,,,,,,,,,,,
Mar-91,Aerolineas Argentinas,Argentina,5,"1,071","1,500",6,"1,025","1,800",1991,1991,,,,,,,,,,,,
Mar-91,Air Caledonie,New Caledonia,17,"1,100","2,142",17,"1,111","2,142",1991,1991,,,,,,,,,,,,
Mar-91,Air China,China,5,"1,009","1,325",5,974,"1,325",1991,1991,,,,,,,,,,,,
Mar-91,Nauru Airlines,Nauru,9,227,885,9,202,885,1991,1991,,,,,,,,,,,,
Mar-91,Air New Zealand,New Zealand,238,"36,286","59,627",236,"34,456","58,548",1991,1991,,,,,,,,,,,,
Mar-91,Air Niugini,Papua New Guinea,49,"2,586","5,206",48,"2,558","4,997",1991,1991,,,,,,,,,,,,
Mar-91,Fiji Airways,Fiji,40,"5,156","9,975",40,"5,970","9,975",1991,1991,,,,,,,,,,,,
Mar-91,Air Vanuatu,Vanuatu,19,"1,947","2,755",19,"2,070","2,755",1991,1991,,,,,,,,,,,,
Mar-91,Alitalia,Italy,13,"1,399","3,897",13,"2,317","3,897",1991,1991,,,,,,,,,,,,
Mar-91,All Nippon Airways,Japan,21,"3,823","7,462",21,"3,797","7,406",1991,1991,,,,,,,,,,,,
Mar-91,American Airlines,USA,18,"1,657","4,086",18,"2,264","4,086",1991,1991,,,,,,,,,,,,
Mar-91,British Airways,New Zealand,14,"1,460","3,860",13,"1,080","3,474",1991,1991,,,,,,,,,,,,
Mar-91,British Airways,UK,58,"11,745","22,388",58,"12,491","22,388",1991,1991,,,,,,,,,,,,
